titulo,hero_file,match
86: Eighty Six,86_Eighty Six.jpg,exact_norm
Ahiru no Sora,Ahiru no Sora.jpg,exact_norm
Akame ga Kill,Akame ga Kill.jpg,exact_norm
Ao Ashi,Ao Ashi.jpg,exact_norm
Ao no Exorcist,Ao no Exorcist.jpg,exact_norm
Baki,Baki.jpg,exact_norm
Banana Fish,Banana Fish.jpg,exact_norm
Black Butler,Black Butler.jpg,exact_norm
Black Clover,Black Clover.jpg,exact_norm
Bleach,Bleach.jpg,exact_norm
Blue Box,Blue Box.jpg,exact_norm
Blue Lock,Blue Lock.jpg,exact_norm
Bocchi the Rock,Bocchi the Rock!.jpg,exact_norm
Boku no Hero Academia,Boku no Hero Academia.jpg,exact_norm
Boruto,Boruto.jpg,exact_norm
Bungo Stray Dogs,Bungo Stray Dogs.jpg,exact_norm
Call of the Night,Call of the Night.jpg,exact_norm
Chainsaw Man,Chainsaw Man.jpg,exact_norm
Code Geass,Code Geass.jpg,exact_norm
Cowboy Bebop,Cowboy Bebop.jpg,exact_norm
Dandadan,Dan da dan.jpg,exact_collapse
Darker Than Black,Darker than Black.jpg,exact_norm
Death Note,Death Note.jpg,exact_norm
Diamond no Ace,Diamond no Ace.jpg,exact_norm
Dr. Stone,Dr. Stone.jpg,exact_norm
Durarara!!,Durarara!!.jpg,exact_norm
Erased,Erased.jpg,exact_norm
Eureka Seven,Eureka Seven.jpg,exact_norm
FMA,Full Metal Alchemist.jpg,alias:full metal alchemist
FMAB,Full Metal Alchemist Brotherhood.jpg,alias:full metal alchemist brotherhood
Fairy Tail,Fairy Tail.jpg,exact_norm
Fate/stay night: Unlimited Blade Works,Fate stay night_ Unlimited Blade Works.jpg,exact_norm
Fire Force,Fire Force.jpg,exact_norm
Frieren,Frieren.jpg,exact_norm
Gintama,Gintama.jpg,exact_norm
Given,Given.jpg,exact_norm
Golden Kamuy,Golden Kamuy.jpg,exact_norm
Gurren Lagann,Gurren Lagann.jpg,exact_norm
Haikyuu!!,Haikyuu!!.jpg,exact_norm
Hajime no Ippo,Hajime no Ippo.jpg,exact_norm
Hell's Paradise,Hell's Paradise.jpg,exact_norm
Hunter x Hunter,Hunter X hunter.jpg,exact_norm
Jujutsu Kaisen,Jujutsu Kaisen.jpg,exact_norm
Katekyo Hitman Reborn!,Katekyo Hitman Reborn!.jpg,exact_norm
Kekkai Sensen,Kekkai Sensen.jpg,exact_norm
Kimetsu no Yaiba,Kimetsu no Yaiba.jpg,exact_norm
Kingdom,Kingdom.jpg,exact_norm
Kuroko no Basuke,Kuroko no Basuke.jpg,exact_norm
Link Click,Link Click.jpg,exact_norm
Magi,Magi.jpg,exact_norm
Mahouka Koukou no Rettousei,Mahouka Koukou no Rettousei.jpg,exact_norm
March comes in like a lion,March comes in like a lion.jpg,exact_norm
Mekakucity Actors,Mekakucity Actors.jpg,exact_norm
Mob Psycho 100,Mob Psycho 100.jpg,exact_norm
Mobile Suit Gundam,Mobile Suit Gundam.jpg,exact_norm
Mushoku Tensei,Mushoku Tensei.jpg,exact_norm
Nana,Nana.jpg,exact_norm
Nanatsu No Taizai,Nanatsu no Taizai.jpg,exact_norm
Naruto,Naruto.jpg,exact_norm
Naruto Shippuden,Naruto Shippuden.jpg,exact_norm
Noragami,Noragami.jpg,exact_norm
One Piece Film Red,One Piece Film Red.jpg,exact_norm
One Piece Film: Red,One Piece Film Red.jpg,exact_norm
Orb: On the Movements of the Earth,Orb_On the Movements of the Earth.jpg,exact_norm
Oregairu,Oregairu.jpg,exact_norm
Oshi no Ko,Oshi No Ko.jpg,exact_norm
Ousama Ranking,Ousama Ranking.jpg,exact_norm
Overlord,Overlord.jpg,exact_norm
Psycho Pass,Psycho-Pass.jpg,exact_norm
Ragna Crimson,Ragna Crimson.jpg,exact_norm
Re:Zero,Re_ZERO.jpg,exact_norm
SAO,Sword Art Online.jpg,alias:sword art online
Sakamoto Days,Sakamoto Days.jpg,exact_norm
Shingeki no Kyojin,Shingeki no Kyojin.jpg,exact_norm
Shokugeki no Soma,Shokugeki no Soma.jpg,exact_norm
Solo Leveling,Solo Leveling.jpg,exact_norm
Soul Eater,Soul Eater.jpg,exact_norm
Spy x Family,SPY ₧ FAMILY.jpg,fuzzy_0.67
Super Campeones,Super Campeones 2002.jpg,fuzzy_0.67
The Apothecary Diaries,The Apothecary Diaries.jpg,exact_norm
The Promised Neverland,The Promised Neverland.jpg,exact_norm
To be Hero X,To Be Hero X.jpg,exact_norm
Tokyo Ghoul,Tokyo Ghoul.jpg,exact_norm
Tokyo Revengers,Tokyo Revengers.jpg,exact_norm
Undead Unluck,Dead Unluck.jpg,alias:dead unluck
Vinland Saga,Vinland Saga.jpg,exact_norm
Wind Breaker,Wind Breaker.jpg,exact_norm
